Team,WinPct,eFG%,TOV%,ORB%,FT/FGA,Season
Indiana Pacers,0.3902439024390244,0.491,13.8,21.6,0.229,2010
Golden State Warriors,0.3170731707317073,0.514,13.1,20.9,0.23,2010
New York Knicks,0.35365853658536583,0.509,13,23.5,0.2,2010
Philadelphia 76ers,0.32926829268292684,0.496,13.7,27.6,0.204,2010
Sacramento Kings,0.3048780487804878,0.491,13.6,27.8,0.207,2010
Washington Wizards,0.3170731707317073,0.481,13.9,27.6,0.216,2010
Detroit Pistons,0.32926829268292684,0.474,12.8,30.3,0.22,2010
Los Angeles Clippers,0.35365853658536583,0.491,14.8,27.1,0.206,2010
Minnesota Timberwolves,0.18292682926829268,0.478,14.6,26.7,0.207,2010
New Jersey Nets,0.14634146341463414,0.458,13.7,25.1,0.24,2010
Miami Heat,0.7073170731707317,0.524,13.5,25.2,0.279,2011
Chicago Bulls,0.7560975609756098,0.501,13.5,29.4,0.227,2011
Los Angeles Lakers,0.6951219512195121,0.502,12.3,29.2,0.228,2011
San Antonio Spurs,0.7439024390243902,0.527,12.8,24.9,0.229,2011
Boston Celtics,0.6829268292682927,0.519,14.5,21.1,0.235,2011
Orlando Magic,0.6341463414634146,0.521,14.3,26.1,0.227,2011
Denver Nuggets,0.6097560975609756,0.526,13.1,23.9,0.281,2011
Dallas Mavericks,0.6951219512195121,0.525,13.6,24.1,0.222,2011
Oklahoma City Thunder,0.6707317073170732,0.501,13.1,27.4,0.299,2011
Memphis Grizzlies,0.5609756097560976,0.493,13,28.9,0.218,2011
Houston Rockets,0.524390243902439,0.503,12.3,27.4,0.239,2011
Portland Trail Blazers,0.5853658536585366,0.486,12.6,29.5,0.224,2011
Philadelphia 76ers,0.5,0.494,12.3,24.6,0.21,2011
New Orleans Hornets,0.5609756097560976,0.493,12.8,25.1,0.226,2011
New York Knicks,0.5121951219512195,0.513,12.6,24.2,0.246,2011
Milwaukee Bucks,0.4268292682926829,0.467,13,24.7,0.217,2011
Phoenix Suns,0.4878048780487805,0.522,13.2,23.7,0.215,2011
Atlanta Hawks,0.5365853658536586,0.501,13.5,23.4,0.209,2011
Indiana Pacers,0.45121951219512196,0.486,14.1,25.9,0.235,2011
Utah Jazz,0.47560975609756095,0.498,13.5,27,0.241,2011
Golden State Warriors,0.43902439024390244,0.51,13.3,26.7,0.183,2011
Los Angeles Clippers,0.3902439024390244,0.496,15.1,28.4,0.234,2011
Detroit Pistons,0.36585365853658536,0.495,12.5,27.4,0.206,2011
Charlotte Bobcats,0.4146341463414634,0.482,14.1,25.7,0.237,2011
Sacramento Kings,0.2926829268292683,0.48,14.4,29.9,0.208,2011
New Jersey Nets,0.2926829268292683,0.474,13.4,26.1,0.215,2011
Toronto Raptors,0.2682926829268293,0.491,13.7,28.2,0.221,2011
Minnesota Timberwolves,0.2073170731707317,0.483,15.1,29.6,0.217,2011
Washington Wizards,0.2804878048780488,0.471,13.9,28,0.216,2011
Cleveland Cavaliers,0.23170731707317074,0.472,13.4,24.2,0.233,2011
Chicago Bulls,0.7575757575757576,0.49,13.2,32.6,0.184,2012
San Antonio Spurs,0.7575757575757576,0.528,12.8,25.1,0.195,2012
Oklahoma City Thunder,0.7121212121212122,0.516,15.3,27.8,0.269,2012
Miami Heat,0.696969696969697,0.505,14.5,26.6,0.238,2012
Philadelphia 76ers,0.5303030303030303,0.48,10.9,24.4,0.161,2012
Atlanta Hawks,0.6060606060606061,0.5,13.4,23.9,0.192,2012
Indiana Pacers,0.6363636363636364,0.474,13.1,29.2,0.251,2012
New York Knicks,0.5454545454545454,0.492,14.9,26.6,0.227,2012
Denver Nuggets,0.5757575757575758,0.516,14.1,27.7,0.239,2012
Boston Celtics,0.5909090909090909,0.496,14.7,19.7,0.2,2012
Los Angeles Clippers,0.6060606060606061,0.502,12.7,29.5,0.195,2012
Memphis Grizzlies,0.6212121212121212,0.473,13.6,29.8,0.211,2012
Los Angeles Lakers,0.6212121212121212,0.491,14.2,29.1,0.226,2012
Dallas Mavericks,0.5454545454545454,0.489,13.4,23.4,0.19,2012
Orlando Magic,0.5606060606060606,0.506,14.5,26.5,0.193,2012
Utah Jazz,0.5454545454545454,0.481,13,30.2,0.227,2012
Milwaukee Bucks,0.4696969696969697,0.481,12.9,27.7,0.194,2012
Houston Rockets,0.5151515151515151,0.492,13.5,27.5,0.184,2012
