year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Williams, Trevor,592866,Mets,NYM,R,91.2,743,1407,8.685185185185185,0.5280739161336176,FF,4-Seamer,19.9,-17.7,-2.1,-12,6.9,-8.7,-1.7,-20,0.17892156862745098,0.2647058823529412
2022,Peralta, Freddy,642547,Brewers,MIL,R,92.6,743,1353,8.351851851851851,0.549150036954915,FF,4-Seamer,16,-16.9,0.9,5,8.8,-8.4,0.4,5,0.6838235294117647,0.5049019607843137
2022,Kimbrel, Craig,518886,Dodgers,LAD,R,95.8,738,1077,6.648148148148148,0.6852367688022284,FF,4-Seamer,15.4,-16.3,0.9,6,10.4,-9.6,0.8,9,0.6838235294117647,0.5612745098039216
2022,Walker, Taijuan,592836,Mets,NYM,R,93.7,737,2500,15.432098765432098,0.2948,FF,4-Seamer,14,-14.2,0.2,2,10.1,-6.3,3.7,59,0.5588235294117647,0.8848039215686274
2022,Kershaw, Clayton,477132,Dodgers,LAD,L,90.7,735,1842,11.37037037037037,0.3990228013029316,FF,4-Seamer,14.7,-16.4,1.7,10,0.5,-6.4,-6.9,-108,0.8700980392156863,0.012254901960784314
2022,Ohtani, Shohei,660271,Angels,LAA,R,97.3,725,2629,16.228395061728396,0.27577025484975276,FF,4-Seamer,14.5,-12.8,-1.7,-13,3.4,-7.5,-4.1,-54,0.22303921568627452,0.08823529411764706
2022,Hutchison, Drew,571800,Tigers,DET,R,92.4,725,1759,10.858024691358025,0.412166003411029,FF,4-Seamer,15.2,-15.3,0.1,1,3.7,-6.6,-2.9,-44,0.5343137254901961,0.17647058823529413
2022,Voth, Austin,608723,Orioles,BAL,R,93.5,725,1762,10.876543209876543,0.41146424517593644,FF,4-Seamer,13.9,-15.1,1.2,8,7.2,-7.3,-0.1,-1,0.7696078431372549,0.42892156862745096
2022,Minor, Mike,501985,Reds,CIN,L,90.4,723,1750,10.802469135802468,0.41314285714285715,FF,4-Seamer,19.2,-16.7,-2.5,-15,3.9,-6.5,-2.6,-40,0.11764705882352941,0.19852941176470587
2022,Estévez, Carlos,608032,Rockies,COL,R,97.5,721,1021,6.302469135802469,0.7061704211557297,FF,4-Seamer,14.1,-13.2,-0.9,-7,10,-8.3,1.7,20,0.3627450980392157,0.678921568627451
2022,Peterson, David,656849,Mets,NYM,L,93.7,716,1889,11.660493827160494,0.37903652726310216,FF,4-Seamer,17.5,-14.5,-3.1,-21,9,-6.8,2.2,32,0.0784313725490196,0.7181372549019608
2022,Hill, Rich,448179,Red Sox,BOS,L,88.5,708,1990,12.283950617283951,0.35577889447236183,FF,4-Seamer,16.4,-17.9,1.4,8,8.2,-6.5,1.7,26,0.8308823529411765,0.678921568627451
2022,Clevinger, Mike,605182,Padres,SD,R,93.6,707,1931,11.919753086419753,0.3661315380631797,FF,4-Seamer,14.2,-15.6,1.3,8,8.7,-8.2,0.5,6,0.803921568627451,0.5220588235294118
2022,Kennedy, Ian,453178,D-backs,AZ,R,93.4,706,867,5.351851851851852,0.8143021914648212,FF,4-Seamer,14.1,-15.8,1.7,11,10.4,-8.3,2.1,25,0.8700980392156863,0.7058823529411765
2022,Suter, Brent,608718,Brewers,MIL,L,86.4,696,1070,6.604938271604938,0.6504672897196262,FF,4-Seamer,23.7,-22.5,-1.3,-6,3.8,1.6,-2.1,134,0.2769607843137255,0.24019607843137256
2022,Edwards Jr., Carl,605218,Nationals,WSH,R,94.6,687,1014,6.2592592592592595,0.6775147928994083,FF,4-Seamer,14.2,-13.5,-0.7,-5,1.7,-6.1,-7.8,-128,0.38235294117647056,0.007352941176470588
2022,Stripling, Ross,548389,Blue Jays,TOR,R,91.9,685,2033,12.549382716049383,0.3369404820462371,FF,4-Seamer,13.7,-14.5,0.9,6,5.2,-5.8,-0.6,-10,0.6838235294117647,0.36764705882352944
2022,Musgrove, Joe,605397,Padres,SD,R,92.9,680,2834,17.493827160493826,0.2399435426958363,FF,4-Seamer,18.3,-14.8,-3.5,-24,4.1,-6.4,-2.3,-35,0.05392156862745098,0.22794117647058823
2022,Coleman, Dylan,669395,Royals,KC,R,97.5,678,1205,7.438271604938271,0.562655601659751,FF,4-Seamer,15.2,-12.8,-2.4,-18,4.8,-7.8,-3,-39,0.13725490196078433,0.16666666666666666
2022,Bickford, Phil,641360,Dodgers,LAD,R,94.1,674,990,6.111111111111111,0.6808080808080809,FF,4-Seamer,15.2,-16,0.9,6,4.8,-8.9,-4.1,-46,0.6838235294117647,0.08823529411764706
2022,Eovaldi, Nathan,543135,Red Sox,BOS,R,95.7,667,1739,10.734567901234568,0.38355376653248996,FF,4-Seamer,15.5,-14.5,-1,-7,12.3,-8.5,3.8,44,0.33578431372549017,0.8995098039215687
2022,Díaz, Alexis,664747,Reds,CIN,R,95.7,667,1077,6.648148148148148,0.6193129062209842,FF,4-Seamer,15.6,-15.7,0.1,1,6.6,-8.4,-1.8,-21,0.5343137254901961,0.25735294117647056
2022,Montas, Frankie,593423,Yankees,NYY,R,96.1,663,2327,14.364197530864198,0.2849162011173184,FF,4-Seamer,12.8,-13.6,0.8,6,6.3,-7.5,-1.2,-16,0.6593137254901961,0.3137254901960784
2022,Baker, Bryan,641329,Orioles,BAL,R,96.2,663,1181,7.290123456790123,0.5613886536833192,FF,4-Seamer,11.8,-12.5,0.8,6,2.4,-6.1,-3.7,-60,0.6593137254901961,0.12009803921568628
2022,Wells, Tyler,669330,Orioles,BAL,R,93.5,662,1649,10.179012345679013,0.4014554275318375,FF,4-Seamer,11.6,-13.3,1.8,13,5.9,-5.8,0,1,0.8848039215686274,0.4485294117647059
2022,Pilkington, Konnor,663455,Guardians,CLE,L,92.1,658,1039,6.41358024691358,0.6333012512030799,FF,4-Seamer,16,-15.7,-0.3,-2,9.4,-6.9,2.6,37,0.4534313725490196,0.7573529411764706
2022,Freeland, Kyle,607536,Rockies,COL,L,90.3,657,2839,17.52469135802469,0.23141951391334978,FF,4-Seamer,19.9,-16.9,-3,-18,5.9,-6.7,-0.8,-13,0.09068627450980392,0.35049019607843135
2022,Kremer, Dean,665152,Orioles,BAL,R,93.5,646,1947,12.018518518518519,0.3317925012840267,FF,4-Seamer,14.9,-15.1,0.2,2,8.9,-7.4,1.6,21,0.5588235294117647,0.6740196078431373
2022,Wacha, Michael,608379,Red Sox,BOS,R,93,643,1949,12.030864197530864,0.32991277578245254,FF,4-Seamer,12.4,-13.9,1.5,11,6.7,-5.6,1.1,19,0.8455882352941176,0.6176470588235294
2022,Archer, Chris,502042,Twins,MIN,R,93,638,1787,11.030864197530864,0.3570229434806939,FF,4-Seamer,13.1,-14.9,1.8,12,6.4,-6.5,-0.1,-2,0.8848039215686274,0.42892156862745096
2022,Wick, Rowan,592858,Cubs,CHC,R,94.9,631,1153,7.117283950617284,0.5472679965307893,FF,4-Seamer,12.7,-14.3,1.6,11,2.8,-7.4,-4.6,-62,0.8553921568627451,0.049019607843137254
2022,Akin, Keegan,669211,Orioles,BAL,L,93.5,628,1235,7.6234567901234565,0.5085020242914979,FF,4-Seamer,13.5,-14.8,1.3,9,10.7,-7,3.7,52,0.803921568627451,0.8848039215686274
2022,Watkins, Spenser,657093,Orioles,BAL,R,91.4,625,1642,10.135802469135802,0.3806333739342265,FF,4-Seamer,16.2,-15.7,-0.5,-3,1.2,-6.1,-4.8,-80,0.4117647058823529,0.04411764705882353
