last_name, first_name,player_id,year,p_k_percent,
Harvey, Hunter,640451,2022,28.7,
Manaea, Sean,640455,2022,23.2,
Puk, A.J.,640462,2022,27.0,
Alzolay, Adbert,640470,2022,36.5,
Lopez, Pablo,641154,2022,23.6,
Alexander, Tyler,641302,2022,14.3,
Baker, Bryan,641329,2022,26.1,
Bickford, Phil,641360,2022,27.1,
Brentz, Jake,641394,2022,23.7,
Brogdon, Connor,641401,2022,26.6,
Castano, Daniel,641447,2022,12.8,
Cortes Jr., Nestor,641482,2022,26.5,
Danish, Tyler,641501,2022,18.5,
Dunning, Dane,641540,2022,20.4,
Foster, Matt,641582,2022,21.8,
Gott, Trevor,641627,2022,23.7,
Hamilton, Ian,641656,2022,0.0,
Hatch, Thomas,641672,2022,15.4,
Hendrix, Ryan,641682,2022,23.7,
Hudson, Dakota,641712,2022,13.1,
Jefferies, Daulton,641726,2022,16.3,
Jimenez, Joe,641729,2022,33.3,
Kay, Anthony,641743,2022,30.0,
Keller, Brad,641745,2022,16.5,
Kinley, Tyler,641755,2022,27.0,
Kuhl, Chad,641771,2022,17.8,
Lauer, Eric,641778,2022,23.8,
Littell, Zack,641793,2022,20.5,
Mahle, Tyler,641816,2022,25.0,
Mayza, Tim,641835,2022,22.8,
McKay, David,641853,2022,9.4,
Middleton, Keynan,641871,2022,21.7,
Murphy, Patrick,641907,2022,11.8,
Neuse, Sheldon,641914,2022,0.0,
Ober, Bailey,641927,2022,22.5,
Pagan, Emilio,641941,2022,30.7,
Rogers, Josh,642028,2022,10.6,
Saucedo, Tayler,642048,2022,0.0,
Sedlock, Cody,642060,2022,18.8,
Speier, Gabe,642100,2022,18.2,
Sulser, Cole,642121,2022,25.5,
Taylor, Blake,642130,2022,12.0,
Trivino, Lou,642152,2022,26.8,
VanMeter, Josh,642165,2022,0.0,
Widener, Taylor,642203,2022,17.1,
Williams, Devin,642207,2022,40.0,
Yacabonis, Jimmy,642231,2022,28.8,
Yarbrough, Ryan,642232,2022,17.2,
Zastryzny, Rob,642239,2022,18.8,
Soto, Gregory,642397,2022,22.8,
Loaisiga, Jonathan,642528,2022,18.2,
Barria, Jaime,642545,2022,17.1,
Hernandez, Jonathan,642546,2022,20.6,
Peralta, Freddy,642547,2022,27.1,
Bautista, Felix,642585,2022,34.8,
Ogando, Cristofer,642657,2022,11.8,
Espinal, Raynel,642659,2022,23.8,
Santana, Dennis,642701,2022,21.2,
Acevedo, Domingo,642758,2022,21.8,
Guerra, Javy,642770,2022,12.2,
Wynns, Austin,642851,2022,0.0,
Brault, Steven,643230,2022,20.5,
Cimber, Adam,643256,2022,19.8,
Dunn, Justin,643290,2022,15.2,
Fry, Paul,643316,2022,23.0,
Green, Chad,643338,2022,25.8,
Herget, Kevin,643361,2022,13.3,
Jax, Griffin,643377,2022,26.9,
Knight, Dusten,643400,2022,18.4,
Leiter Jr., Mark,643410,2022,25.9,
Pruitt, Austin,643493,2022,17.0,
Rogers, Tyler,643511,2022,15.4,
Schwindel, Frank,643524,2022,0.0,
Zeuch, T.J.,643615,2022,7.8,
Arano, Victor,644364,2022,23.5,
Chang, Yu,644374,2022,0.0,
Severino, Anderson,644429,2022,26.5,
Alcantara, Sandy,645261,2022,23.4,
Diaz, Jhonathan,646242,2022,16.7,
Pop, Zach,647315,2022,15.9,
Wells, Alex,649144,2022,37.5,
Ruiz, Norge,650204,2022,19.1,
Hernandez, Darwinzon,650382,2022,20.9,
Mejia, J.C.,650496,2022,6.3,
Garcia, Bryan,650530,2022,20.2,
Abreu, Bryan,650556,2022,35.5,
King, Michael,650633,2022,33.2,
Civale, Aaron,650644,2022,24.1,
Quijada, Jose,650671,2022,30.8,
Cabrera, Genesis,650893,2022,16.5,
Castillo, Diego,650895,2022,23.9,
Sanchez, Cristopher,650911,2022,19.8,
Diplan, Marcos,650959,2022,29.6,
Duarte, Daniel,650960,2022,14.3,
Rodriguez, Manuel,655889,2022,14.0,
Zabala, Aneurys,656008,2022,18.2,
Abreu, Albert,656061,2022,22.1,
Beeks, Jalen,656222,2022,28.0,
Bielak, Brandon,656232,2022,22.2,
Bird, Jake,656234,2022,19.9,
Brigham, Jeff,656257,2022,27.7,
Burke, Brock,656271,2022,27.4,
Carlton, Drew,656290,2022,21.9,
Cease, Dylan,656302,2022,30.4,
Coonrod, Sam,656322,2022,20.7,
Davidson, Tucker,656353,2022,13.6,
Davis, Austin,656354,2022,24.2,
Faedo, Alex,656412,2022,18.0,
Feyereisen, J.P.,656420,2022,29.1,
Flaherty, Jack,656427,2022,19.8,
Gilbert, Tyler,656457,2022,13.7,
Gilbreath, Lucas,656458,2022,26.2,
Ginkel, Kevin,656464,2022,24.2,
Griffin, Foster,656492,2022,12.5,
Hentges, Sam,656529,2022,29.4,
Hoffman, Jeff,656546,2022,22.8,
Holloway, Jordan,656548,2022,18.2,
Houck, Tanner,656557,2022,22.7,
Jackson, Andre,656578,2022,21.4,
Keller, Mitch,656605,2022,20.1,
Kopech, Michael,656629,2022,21.3,
Lange, Alex,656638,2022,30.3,
Logue, Zach,656657,2022,16.3,
Martin, Brett,656685,2022,18.9,
Martin, Corbin,656686,2022,20.8,
Megill, Trevor,656730,2022,25.0,
Megill, Tylor,656731,2022,25.5,
Montes de Oca, Bryce,656755,2022,31.6,
Montgomery, Jordan,656756,2022,21.8,
Mushinski, Parker,656786,2022,26.7,
Nelson, Nick,656793,2022,22.5,
Newcomb, Sean,656794,2022,20.9,
Norwood, James,656803,2022,25.9,
Ortiz, Luis,656814,2022,18.2,
Overton, Connor,656818,2022,11.3,
Peterson, David,656849,2022,27.8,
Rasmussen, Drew,656876,2022,21.4,
Reid-Foley, Sean,656887,2022,18.2,
Scott, Tanner,656945,2022,31.1,
Sheffield, Justus,656954,2022,13.7,
Smeltzer, Devin,656970,2022,13.9,
Sousa, Bennett,656986,2022,12.5,
Steele, Justin,657006,2022,24.6,
Swanson, Erik,657024,2022,34.0,
Thompson, Ryan,657044,2022,21.5,
Toussaint, Touki,657053,2022,24.1,
Watkins, Spenser,657093,2022,13.7,
Wright, Kyle,657140,2022,23.6,
Merryweather, Julian,657240,2022,19.3,
Otto Jr., Glenn,657248,2022,18.2,
Strzelecki, Peter,657265,2022,27.0,
Uelmen, Erich,657272,2022,17.2,
Webb, Logan,657277,2022,20.7,
Schmidt, Clarke,657376,2022,23.7,
Gage, Matt,657424,2022,24.0,
Baumann, Mike,657508,2022,15.4,
Bernardino, Brennan,657514,2022,0.0,
Ferguson, Caleb,657571,2022,26.1,
Garrett, Reed,657585,2022,12.2,
Hill, Tim,657612,2022,12.6,
Koenig, Jared,657649,2022,12.4,
Ryan, Joe,657746,2022,25.0,
Seabold, Connor,657756,2022,19.4,
Stout, Eric,657770,2022,22.7,
Medina, Adonis,658431,2022,15.5,
Fernandez, Junior,658551,2022,16.7,
Avila, Pedro,658648,2022,27.8,
Espinoza, Anderson,659262,2022,22.4,
Lamet, Dinelson,659275,2022,30.2,
Ohtani, Shohei,660271,2022,33.2,
Reyes, Denyi,660593,2022,9.7,
Paredes, Enoli,660600,2022,14.3,
Ynoa, Huascar,660623,2022,21.6,
Castillo, Diego,660636,2022,6.7,
Rodriguez, Elvin,660730,2022,17.5,
Suarez, Jose,660761,2022,22.3,
De Los Santos, Yerry,660787,2022,23.2,
Graterol, Brusdar,660813,2022,21.8,
Bazardo, Eduard,660825,2022,16.9,
De Los Santos, Enyel,660853,2022,28.4,
Alcala, Jorge,660896,2022,20.0,
Perez, Francisco,660906,2022,14.6,
Lopez, Yoan,661255,2022,19.6,
Gutierrez, Vladimir,661269,2022,16.2,
Martinez, Adrian,661309,2022,20.5,
Ortega, Oliver,661383,2022,22.3,
Duran, Jhoan,661395,2022,33.5,
Clase, Emmanuel,661403,2022,28.4,
Llovera, Mauricio,661440,2022,27.8,
Martinez, Seth,661527,2022,24.5,
Gil, Luis,661563,2022,26.3,
Munoz, Andres,662253,2022,38.7,
Suarez, Robert,663158,2022,31.9,
Feltner, Ryan,663372,2022,19.6,
Szapucki, Thomas,663378,2022,26.9,
Smith, Chad,663385,2022,27.1,
Thornton, Trent,663423,2022,19.6,
Rainey, Tanner,663432,2022,28.1,
Martin, Davis,663436,2022,17.8,
Pilkington, Konnor,663455,2022,19.4,
Bubic, Kris,663460,2022,18.7,
Allard, Kolby,663465,2022,21.8,
McKenzie, Triston,663474,2022,25.6,
Sands, Cole,663485,2022,19.3,
Allen, Logan,663531,2022,17.5,
Hjelle, Sean,663546,2022,24.3,
Mize, Casey,663554,2022,8.9,
McClanahan, Shane,663556,2022,30.3,
Moran, Jovani,663558,2022,32.9,
Falter, Bailey,663559,2022,21.2,
Santillan, Tony,663574,2022,21.9,
Small, Ethan,663629,2022,21.2,
McKenna, Ryan,663630,2022,0.0,
Neidert, Nick,663734,2022,15.0,
Lynch, Daniel,663738,2022,20.3,
Morris, Cody,663752,2022,23.0,
Knehr, Reiss,663753,2022,16.9,
Woodford, Jake,663765,2022,12.8,
Hoeing, Bryan,663773,2022,9.8,
Sandoval, Patrick,663776,2022,23.7,
Kowar, Jackson,663804,2022,20.7,
Hicks, Jordan,663855,2022,24.0,
Singer, Brady,663903,2022,24.2,
Holton, Tyler,663947,2022,15.4,
Paddack, Chris,663978,2022,21.5,
Stephan, Trevor,663986,2022,30.7,
Vespi, Nick,663989,2022,25.0,
Lakins Sr., Travis,664042,2022,16.0,
Stashak, Cody,664054,2022,23.1,
Gonsolin, Tony,664062,2022,23.9,
Cleavinger, Garrett,664076,2022,34.8,
Poppen, Sean,664092,2022,18.3,
Effross, Scott,664123,2022,27.1,
Fairbanks, Pete,664126,2022,43.7,
Gibaut, Ian,664139,2022,30.0,
Brubaker, JT,664141,2022,22.8,
Swarmer, Matt,664161,2022,23.5,
Clarke, Taylor,664199,2022,23.6,
Cyr, Tyler,664202,2022,29.1,
Maton III, Phil,664208,2022,26.0,
Valdez, Framber,664285,2022,23.5,
Moreta, Dauri,664294,2022,24.4,
Javier, Cristian,664299,2022,33.2,
Yajure, Miguel,664337,2022,13.4,
Urquidy, Jose,664353,2022,19.7,
Romero, Jhon,664584,2022,25.0,
Lopez, Alejo,664670,2022,0.0,
Diaz, Alexis,664747,2022,32.5,
Cousins, Jake,664776,2022,35.6,
Young, Danny,664849,2022,18.8,
Helsley, Ryan,664854,2022,39.3,
Dowdy, Kyle,664871,2022,11.1,
Lawrence, Justin,664875,2022,25.1,
Naile, James,664942,2022,13.5,
Vieaux, Cam,664944,2022,31.3,
Misiewicz, Anthony,664948,2022,22.3,
Kelley, Trevor,665001,2022,21.5,
Clemens, Kody,665019,2022,3.0,
Kremer, Dean,665152,2022,17.0,
Garcia, Rony,665621,2022,23.3,
Peguero, Elvis,665625,2022,15.6,
Castro, Kervin,665645,2022,19.3,
Sanmartin, Reiver,665665,2022,18.4,
Cabrera, Edward,665795,2022,25.8,
Assad, Javier,665871,2022,18.1,
Marte, Jose,665896,2022,25.9,
Anderson, Ian,666120,2022,19.7,
Garrett, Braxton,666129,2022,24.1,
Ragans, Cole,666142,2022,15.5,
Lodolo, Nick,666157,2022,29.7,
Manning, Matt,666159,2022,18.3,
Thompson, Mason,666168,2022,14.9,
Luzardo, Jesus,666200,2022,30.0,
Manoah, Alek,666201,2022,22.9,
Jimenez, Dany,666204,2022,23.4,
Muller, Kyle,666205,2022,20.3,
Wentz, Joey,666214,2022,20.0,
Brash, Matt,666374,2022,27.9,
Santos, Gregory,666619,2022,11.8,
Castillo, Max,666721,2022,21.8,
Doval, Camilo,666808,2022,28.0,
Frias, Luis,666818,2022,15.6,
Cano, Yennier,666974,2022,21.6,
Nance, Tommy,667297,2022,29.1,
Rondon, Angel,667373,2022,20.0,
Sanchez, Miguel,667376,2022,15.5,
Jackson, Zach,667427,2022,33.2,
King, John,667463,2022,13.5,
Fletcher, Aaron,667465,2022,11.5,
Dugger, Robert,667498,2022,26.4,
Tyler, Kyle,667725,2022,14.3,
Miller, Tyson,668338,2022,14.3,
Nogosek, Stephen,668665,2022,22.1,
Plesac, Zach,668676,2022,17.6,
Gallen, Zac,668678,2022,26.9,
Tully, Tanner,668684,2022,6.7,
Kranick, Max,668820,2022,21.1,
McGee, Easton,668834,2022,7.1,
Thompson, Zack,668868,2022,19.9,
Kilian, Caleb,668873,2022,16.1,
Greene, Hunter,668881,2022,30.9,
Ashcraft, Graham,668933,2022,15.3,
Romero, JoJo,668941,2022,25.4,
McCarty, Kirk,668948,2022,16.4,
Hollowell, Gavin,668970,2022,25.0,
Gore, MacKenzie,669022,2022,23.3,
Wilson, Bryse,669060,2022,15.5,
Hall, DL,669084,2022,29.7,
Estrada, Jeremiah,669093,2022,32.0,
Zimmermann, Bruce,669145,2022,15.3,
May, Dustin,669160,2022,22.8,
Heasley, Jonathan,669169,2022,15.1,
Nelson, Ryne,669194,2022,23.2,
